[0:22.520,0:25.500]  欢迎体验智能艾灸床。
[0:25.500,0:34.460]  在这一个小时的时间里，让您体验全身276个穴位全身透灸的神奇效果。
[0:34.460,1:5.120]  艾柱全部采用三年尘艾，艾维纯阳之物，可以补充人体的阳气。艾灸一次通过60分钟的全身透灸，能很好疏通全身的经络，打通微循环，把身体的湿气、寒气、风邪排出体外，提升人体温度，恢复身体自我修复的能力。如果您经络畅通，全身透灸相当于普通艾灸10次效果。
[1:5.120,1:12.060]  艾灸的历史源远流长，黄帝内经曰，治病之要术，无过于艾灸。
[1:12.060,1:20.060]  民间自有家有三年爱，郎中不用来七年之疾，当求三年之爱的说法。
[1:20.060,1:26.160]  爱有升阳、补气血、通经络，走三阴，通十二经的功效。
[1:26.160,1:39.580]  爱是生命之源，养生保健之法宝。艾灸人人皆宜，男女老少适用。温度决定人生老病死，现在大多数人都不注重温度保养。
[1:39.580,1:54.400]  空调、暖气、啤酒、冷饮，不良的生活习惯维逆四季常态。近年来，人体温度普遍降低，身体体温变化会对人体健康造成很大影响。
[1:54.400,2:1.640]  人体健康温度是36.5°C到37°C，免疫力正常。
[2:1.640,2:18.180]  人体温度提升1°，免疫力增强5~6倍，体温下降1°C，免疫力就下降30%。人体体温下降是导致人体免疫系统功能减弱的重要原因。
[2:18.180,2:30.360]  人体温度35°是癌细胞最为活跃、最喜欢的温度，癌细胞大量繁殖，所以36.5°C为健康临界点。
[2:30.360,2:42.320]  温度是决定人体是否健康、气血是否充足的关键所在。气血就像人体内的河流，温度过低，河流就会冰封。
[2:42.320,3:7.320]  黄帝内经讲寒则凝，凝则淤，淤则堵，补则流，流则癌，血淤温则行。当身体湿寒入侵太重，血液运行受阻，血液就会凝滞，身体各个经脉、脏器都无法正常运行，而产生大量的垃圾、毒素堆积在体内，使身体产生各种不适之症。
[3:7.320,3:14.620]  小病表现为感冒、发烧、流涕、头晕、皮肤瘙痒、腰背酸痛。
[3:14.620,3:32.000]  大病表现为囊肿、肌瘤、四肢麻木、中风、瘫痪、心脑血管疾病、慢性疾病等等。当人体阳气、热能即将全部耗尽时，生命垂危乃至丧命，而体温也代表人体的阳气。
[3:32.000,3:42.140]  阳气是人的保命之法，艾灸就是大自然馈赠给我们最好的天然的升阳之物，无任何毒副作用。
[3:42.140,3:49.140]  艾灸一次，身体寒湿随着汗液表出，气色红润，身体轻盈。
[3:49.140,3:55.000]  坚持1个月，湿寒排出体外，发困，嗜睡，困乏问题解决。
[3:55.000,4:5.760]  坚持一年，免疫力增加，体温整体升高，慢病得到控制改善，身体冬暖夏凉，手脚冰凉问题解决。
[4:5.760,4:17.080]  长期艾灸不但身体健康，还能延年益寿。常做艾灸，提升阳气，改变低温，健康问题就能根本解决。
[4:17.080,4:26.100]  好的生活习惯才是改变健康问题的关键，艾灸养生的同时，一定要改变自身的生活方式。
[4:26.100,4:27.340]  第一。
[4:27.340,4:32.700]  注意保暖，禁忌一切寒凉生冷食物，避免熬夜。
[4:32.700,4:33.900]  第二。
[4:33.900,4:44.640]  适度的运动。生命在于运动，当人体运动时，各个脏器功能运转起来，可以补充我们人体所需的阳气。
[4:44.640,4:51.260]  运动方式可选择爬山、禅舞、瑜伽、跑步、练太极等等。
[4:51.260,4:55.800]  根据个人喜好选择适应自己的运动方式。
[4:55.800,4:57.020]  第三。
[4:57.020,5:4.120]  补充体内热源，以健脾养胃，多食用五谷杂粮、温补性食物为主。
[5:4.120,5:12.640]  就好比将是温性食物，无论内服还是外用，都可补充热能，使身体变得更温暖。
[5:12.640,5:19.180]  第4，多做艾灸。一日一灸可调百病，三日一灸可防百病。
[5:19.180,5:37.180]  长期艾灸，以热入药，以艾火纯阳之气推动人体经脉运行，提升免疫力，增强自愈力，扶正气，艾能回垂死之阳，能持续生命长度，艾能补肾，就是对艾草最简洁的诠释。
[5:37.180,5:38.400]  5。
[5:38.400,5:47.640]  养生的最高境界就是情之养生。中医讲究天人合一，太阳为天之阳，艾草为地之阳。
[5:47.640,5:52.220]  那现在让我们调整好心情，凝神静气。
[5:52.220,5:55.932]  一起来感受艾灸带给我们的神奇效果吧。
